yyyymmdd,mean,top10_mean,max,std
20010725,10.731326,88.1995,118.94003,14.228864
20010726,13.175125,116.90299,164.495,17.348608
20010727,9.922979,135.993,222.385,15.697932
20010728,9.6950655,89.332504,97.869995,14.795988
20010729,7.132809,103.33449,119.4,13.265832
20010730,7.4607673,54.854504,75.19001,8.433869
20010731,12.895134,70.488495,81.00001,13.0223675
20010801,14.4808855,83.447495,95.80999,14.351715
20010802,19.74548,119.56901,144.07503,22.740936
20010803,29.458824,135.51851,140.94,29.120085
20010804,16.622316,79.187,87.325,15.873445
20010805,6.155354,42.9345,46.32,9.770951
20010806,6.1185985,51.827496,57.34499,9.570631
20010807,14.626769,116.96399,124.87001,26.482857
20010808,10.8642435,133.481,149.94998,22.238789
20010809,12.708286,109.579,120.959984,20.097088
20010810,11.075911,66.403496,82.675,12.362873
20010811,6.938846,64.965996,82.67499,10.249674
20010812,3.8756745,35.5765,39.734997,6.3706803
20010813,9.190673,80.93549,88.76,13.910303
20010814,12.671715,72.043,79.86,14.999487
20010815,14.873403,102.934,104.755,22.357271
20010816,5.0446277,35.096,47.549995,7.088116
20010817,5.382509,72.16899,80.40999,10.011784
20010818,4.2675815,64.583496,77.06001,8.249864
20010819,3.370813,54.116497,66.06999,6.3173056
20010820,10.821657,53.389996,57.115,13.693235
20010821,2.8779519,27.888998,30.295,4.6739874
20010822,1.1243814,14.763499,17.304998,2.095589
20010823,1.7395946,18.671,21.050001,2.8980255
20010824,4.850488,62.97,69.05,8.4509535
20010825,3.3968158,40.689495,43.955,6.3592324
20010826,7.288064,115.488,132.05002,14.824307
20010827,1.9389715,37.836998,51.054996,4.4076858
20010828,1.2199438,15.6225,18.059998,2.4239473
20010829,0.89650655,10.7795,13.76,1.7053196
20010830,1.4237347,18.1135,23.665003,2.8498058
20010831,1.0507756,15.835999,21.994999,2.2883766
20010901,0.21252106,3.8890004,4.595,0.5182449
20010902,0.23422915,4.6050005,5.25,0.6095138
20010903,0.18324274,7.2170005,9.175001,0.72553986
20010904,0.3252999,8.346499,11.514999,0.8729877
20010905,0.20397845,4.1619997,4.9499993,0.57160336
20010906,0.23826149,8.0485,17.12,0.7438652
20010907,0.29407215,6.6184998,9.675,0.74562436
20010908,0.58716965,11.4314995,17.819998,1.3192389
20010909,0.37996015,5.2174997,6.3599997,0.6903259
20010910,0.47104263,7.7599998,14.58,0.9589996
20010911,1.0633576,15.679001,19.69,1.9831269
20010912,1.1740416,51.623497,113.505005,4.534488
20010913,1.8124462,20.878998,25.869997,3.4315758
20010914,6.7184143,58.552998,66.484985,11.366183
20010915,5.182313,42.334,52.544994,6.342357
20010916,16.324867,95.877495,122.064995,15.333491
20010917,13.001142,128.65099,165.10002,15.661644
20010918,11.842374,56.166496,67.36499,10.898044
20010919,10.613916,70.481,88.45,11.3161335
20010920,12.564525,112.743996,154.40498,16.312029
20010921,12.094113,88.949,123.17501,14.181863
20010922,13.9066925,78.833496,120.385,15.2864895
20010923,12.051021,80.136986,91.25998,12.327083
20010924,5.6366534,102.5895,116.83001,13.037516
20010925,10.607429,71.4655,81.700005,11.887211
20010926,6.4571066,44.7715,53.784992,7.558138
20010927,9.698271,59.060997,63.984997,10.549031
20010928,11.305545,88.862,103.62502,16.160234
20010929,10.883849,172.44801,248.88,18.276085
20010930,5.516526,54.211998,73.395,8.174677
20020401,0.6310191,25.923996,53.204994,2.4720473
20020402,0.13578722,5.849,8.419999,0.58325464
20020403,0.1141565,16.282999,42.034996,1.4316609
20020404,0.4164972,32.2495,66.235,2.7759032
20020405,0.6878045,20.89,37.72,2.0752876
20020406,1.1359934,24.204,35.174995,2.7285643
20020407,0.50587153,11.198,18.355,1.3493464
20020408,0.8361082,16.991001,37.41,1.9959631
20020409,0.24545923,12.4785,27.33,1.1822404
20020410,0.78833646,21.359999,52.655,2.4090657
20020411,0.85723275,35.516502,75.59499,3.2434688
20020412,2.281441,43.083504,101.259995,5.185584
20020413,2.4957027,33.202,37.12,4.9249873
20020414,0.63473755,11.212999,14.639999,1.5446161
20020415,0.3165862,6.9674997,9.164999,0.9011986
20020416,0.5786809,17.067999,19.635,2.1671693
20020417,0.09926898,4.663,11.72,0.47302312
20020418,0.39214388,14.902499,20.86,1.5618937
20020419,0.75559276,16.293,28.23,1.8574072
20020420,0.62199616,11.9175,16.29,1.5648075
20020421,4.4775724,51.969,61.754997,7.275377
20020422,1.8604405,24.723999,43.589996,3.2639513
20020423,2.3312163,59.395496,138.64499,6.7706914
20020424,0.19679004,5.493,9.53,0.5960101
20020425,0.25076616,10.124001,13.524999,1.0214627
20020426,1.8249345,49.340004,67.270004,5.4889092
20020427,1.093859,36.129,50.415,3.6336718
20020428,0.99433696,40.670998,95.55499,3.8241029
20020429,0.19705951,10.7005005,22.825003,0.9726857
20020430,0.2112441,14.420499,22.059998,1.1971375
20020501,0.37795216,17.493,37.814995,1.5595545
20020502,3.8079593,50.399998,68.514984,8.046297
20020503,11.654622,98.00499,106.05999,20.49511
20020504,11.702024,109.05699,139.86998,17.892376
20020505,3.9407587,76.733,154.40503,8.714382
20020506,1.8004311,20.044,23.594997,3.0727522
20020507,3.976741,64.8235,135.745,7.3607035
20020508,4.4590673,87.7135,174.83,9.332125
20020509,5.3805175,59.764,81.215,9.937292
20020510,3.5201244,71.971504,92.83001,7.4803724
20020511,0.8294822,21.9165,30.725,2.2830606
20020512,1.5136994,37.331497,60.419994,4.653477
20020513,4.9027696,72.2415,119.48999,10.5236845
20020514,0.8992432,22.986,32.295,2.4214232
20020515,2.3897352,41.204994,67.04999,4.646337
20020516,6.108981,66.961,84.7,9.907774
20020517,3.6081276,55.157,75.560005,7.47644
20020518,20.234838,129.587,138.57501,30.999546
20020519,5.9863443,83.835,100.87499,11.664809
20020520,2.7039993,57.689995,89.95,6.9597588
20020521,1.4283786,35.5465,45.464996,4.044509
20020522,1.1437088,28.781998,45.829998,2.9125571
20020523,0.78517556,22.482998,26.439999,2.3043175
20020524,0.41995552,21.918,44.515,1.8741424
20020525,6.473165,79.1575,88.329994,12.409138
20020526,3.6520264,63.271496,146.075,7.6513333
20020527,2.0652485,42.0405,76.385,4.8822603
20020528,5.0913005,127.9875,222.445,12.319762
20020529,4.5231867,48.531498,64.314995,7.637922
20020530,3.5279405,52.257996,94.134995,6.515565
20020531,7.5531487,77.0565,111.59499,10.895383
20020601,17.518011,135.065,218.625,21.042307
20020602,20.564268,124.8765,156.92,25.239426
20020603,5.474463,48.915497,62.204994,7.9035096
20020604,1.1208669,26.041998,41.66,2.9031227
20020605,1.3109136,28.2795,37.785,3.095862
20020606,2.562181,33.597496,42.695004,4.3999515
20020607,1.7157941,22.966497,26.92,3.2587512
20020608,4.6561713,48.952,90.12499,7.0305624
20020609,14.7084055,121.98949,164.835,15.2422495
20020610,24.016829,174.42899,226.13002,24.249794
20020611,23.03733,246.00298,381.22498,31.533012
20020612,8.093355,143.198,251.77998,14.062044
20020613,20.824566,158.836,176.345,22.84441
20020614,25.09967,206.88501,250.25502,31.563608
20020615,28.498707,120.41349,146.31496,23.057781
20020616,15.0519705,67.883995,77.76501,16.85911
20020617,14.675195,92.50951,103.700005,18.303253
20020618,17.261097,83.077,93.770004,19.108759
20020619,18.954298,92.743996,148.2,18.146044
20020620,18.225065,135.6835,167.46997,22.833797
20020621,8.040385,65.73,81.66501,11.406089
20020622,7.1258993,71.955505,99.705,11.727379
20020623,9.738825,84.63799,119.515,13.099213
20020624,11.141178,88.07499,142.405,13.399246
20020625,17.419361,122.202,129.195,25.25075
20020626,32.369137,335.1185,356.855,62.365253
20020627,6.8072233,89.675,102.51501,14.490298
20020628,1.5572212,37.403496,45.245003,4.372874
20020629,2.1522071,35.693996,42.340004,5.5956073
20020630,0.7689924,8.8295,12.344999,1.3016919
20020701,3.2707734,42.4455,53.72,5.821797
20020702,3.2174695,59.094994,70.14,7.669186
20020703,1.2639948,16.2295,23.824999,2.4018443
20020704,0.6874789,8.1045,9.26,1.3679827
20020705,0.8676288,19.3565,24.165,2.377696
20020706,0.70126283,19.467999,25.32,2.2204387
20020707,0.36516866,11.0339985,16.365,1.2040328
20020708,1.1750445,25.858501,28.925003,3.1404095
20020709,3.4077296,40.853497,47.42001,6.1931744
20020710,7.773692,85.6635,100.80499,13.522421
20020711,15.179954,151.746,176.29,24.49344
20020712,12.714469,159.842,197.33502,24.611423
20020713,1.9282849,35.123497,44.055008,4.342366
20020714,3.159857,48.456993,83.924995,6.5692706
20020715,6.9153237,118.48049,126.405014,17.199888
20020716,6.8774457,67.7725,81.39501,10.325907
20020717,5.672707,40.909996,52.569996,6.4967246
20020718,12.953582,87.9565,94.205,16.65206
20020719,9.327933,65.82649,69.749985,12.671824
20020720,2.4073381,22.5055,25.095,3.8567424
20020721,7.0576663,58.868004,69.27,9.067027
20020722,10.598178,71.886505,97.45003,11.642655
20020723,9.051811,102.00849,111.72499,16.192257
20020724,4.959133,57.227,66.92,8.2791815
20020725,8.047082,67.621,83.57,13.095395
20020726,0.7701476,31.663,54.744995,2.8287244
20020727,2.8950982,34.955498,43.590004,5.735556
20020728,2.2330573,29.643503,37.03,4.244238
20020729,1.9705601,25.915003,31.325,4.0353293
20020730,7.401364,55.087994,66.07,10.421
20020731,9.014963,75.937,93.104996,12.618269
20020801,7.410698,48.419,53.885,8.750717
20020802,15.538477,102.28551,124.19,19.643024
20020803,14.791311,105.4995,198.205,15.79684
20020804,14.794189,83.5515,99.25999,15.961137
20020805,18.733685,92.739,109.995,18.825573
20020806,18.827192,169.04599,208.04498,29.853138
20020807,12.672705,91.118,174.50998,16.21943
20020808,30.613214,136.7305,155.615,26.917902
20020809,38.83321,151.236,155.05496,34.22363
20020810,25.076982,151.12448,173.975,24.82559
20020811,10.228344,63.802498,69.65001,11.140135
20020812,5.465009,40.4535,45.925,6.4151278
20020813,3.755829,68.9615,88.83499,8.144612
20020814,0.69265467,17.461,28.285,1.7475959
20020815,5.445136,74.7465,91.1,10.291653
20020816,26.62094,174.71152,198.00499,35.008545
20020817,12.474675,90.231,95.255005,17.81165
20020818,3.4185822,35.767998,45.97,5.3458405
20020819,0.92668223,12.7925,16.949999,1.8326284
20020820,0.457336,10.630999,15.45,1.2043995
20020821,0.41312087,6.5845003,9.274999,0.9180326
20020822,1.6362044,15.905001,18.159998,2.7347314
20020823,6.42044,55.9365,61.105007,8.223711
20020824,22.63891,180.034,200.96497,32.355217
20020825,20.90818,179.061,196.775,39.372696
20020826,1.0766282,47.4995,67.57001,4.466133
20020827,1.8196133,44.145996,53.315002,5.0152597
20020828,2.367922,32.6865,50.824993,4.5852795
20020829,2.5158973,48.971,73.91,5.22066
20020830,4.0554123,34.221497,41.924995,6.442387
20020831,3.099086,31.197498,37.954998,5.0197773
20020901,9.368288,67.913,75.685005,13.491826
20020902,8.348529,71.895,107.925,11.905017
20020903,9.953714,94.81749,103.51999,15.835032
20020904,7.3262577,54.855,60.784992,12.529324
20020905,8.697436,85.57799,97.43999,15.678165
20020906,2.155677,23.499,28.814999,4.0927896
20020907,1.6124156,32.958496,35.925003,4.013499
20020908,1.3437581,14.875501,20.669998,2.3532908
