yyyymmdd,u_mean,v_mean,ws_mean,SWF,SSWF,cwv_1000_700,cwv_700_500,IVT,ERA5_all_lv0,ERA5_all_lv1
20010401,-4.226531982421875,1.3628554344177246,4.482913017272949,0,0,26.961849676842647,7.834359711462555,132.74442476620678,0.66318506,1.4121103
20010402,4.773110389709473,2.7143192291259766,5.5148701667785645,1,0,29.826022054158067,7.464856429885672,109.78850266774482,0.85518706,1.6503795
20010403,6.999605178833008,2.2757534980773926,7.437069892883301,1,1,32.15965654916402,6.205708394022737,170.53272987139692,0.28986517,0.9659678
20010404,1.885182499885559,3.1728968620300293,3.988464832305908,1,0,34.700768259958295,7.370312316764935,69.31070475895683,0.1169905,1.0963769
20010405,2.836473226547241,0.5907837748527527,2.9916679859161377,0,0,36.02664027596855,9.167010114790106,42.92934017525517,-0.30917063,1.563213
20010406,5.953861236572266,1.0173684358596802,6.074589729309082,1,1,36.48893623343871,7.491621079663545,135.467258672111,-1.0455023,1.3425592
20010407,4.417800426483154,1.5636643171310425,4.825709819793701,1,0,36.55852171640489,5.326490615734864,149.22214430367555,-0.18983588,0.59431165
20010408,11.321843147277832,4.514822959899902,12.19525146484375,1,1,33.8104372562169,6.907272964699311,344.846704028786,0.1886892,0.48675844
20010409,3.6397106647491455,1.1449925899505615,4.1117048263549805,1,0,40.373152899991275,7.329060038925235,171.49826002577043,-0.95717365,0.86013454
20010410,3.7167632579803467,0.4484495222568512,4.14225435256958,1,0,39.03626653643312,7.425058473598366,80.70840258780235,-0.9000675,1.0887474
20010411,4.2648749351501465,-1.1707961559295654,4.617813587188721,0,0,35.45858813385143,8.944324241106743,182.73448137853276,-1.3769342,1.5335404
20010412,0.23593705892562866,0.5755240321159363,2.282796621322632,0,0,30.843879399197295,8.252542763291283,94.58982072148196,-1.1719798,2.0205433
20010413,-0.7992805242538452,0.4079854190349579,2.247058153152466,0,0,31.5973324880945,7.057476945858578,83.44830577333711,-0.815022,2.6103756
20010414,-3.1173155307769775,-0.7207362651824951,3.3101351261138916,0,0,32.66834951326628,7.762030676743682,132.2123703436033,-0.27826816,2.1769137
20010415,-1.669834852218628,0.7151328325271606,2.1142683029174805,0,0,33.7059290315526,8.933199607627161,101.71656924063845,-0.43082333,1.7838936
20010416,2.8347830772399902,-0.565832793712616,2.965804100036621,0,0,34.710179516349704,8.62759004273236,57.95720711880409,-1.408679,1.892835
20010417,4.323639869689941,-0.513355016708374,4.484659671783447,0,0,34.69287034063762,8.26372033297768,120.28686053530296,-2.465228,2.2333276
20010418,3.535179853439331,3.155066728591919,4.854134559631348,1,0,35.369325317025016,7.662822114028173,110.08153285336095,-1.5061615,1.5680385
20010419,4.085892200469971,5.667442321777344,7.004452705383301,1,1,34.43644676397633,6.729127295198556,190.09927481436765,-0.20414667,0.61604214
20010420,6.7379374504089355,7.2198486328125,9.89990520477295,1,1,30.315410879592033,6.379530488806459,278.7034041899404,-0.41616964,0.60634005
20010421,4.992437839508057,3.905515670776367,6.395391464233398,1,1,31.943165843309306,6.403619509938906,193.08951425128168,0.26013607,0.41370252
20010422,-1.8814330101013184,2.4735615253448486,3.719085931777954,0,0,34.28938671274711,7.324480118158679,147.77638831332908,-0.93194383,1.1539224
20010423,-1.258537769317627,-0.5635694265365601,2.225865602493286,0,0,33.30475827423753,7.046839401492498,116.40056281123786,4.316127,3.1277573
20010424,-3.363661050796509,-0.9342399835586548,3.536062240600586,0,0,33.13944553038358,7.738729341834389,119.8597678888833,3.702812,2.7638106
20010425,-3.706796169281006,-0.05209711939096451,3.814256429672241,0,0,34.090207077827905,7.489399185829779,176.81379182335345,0.8380781,1.7924596
20010426,-4.837351322174072,1.3108289241790771,5.180047988891602,0,0,33.952115052266,5.742829050232246,202.73241406403264,0.83315676,1.3457266
20010427,-1.010894775390625,4.1006178855896,4.314808368682861,0,0,35.73115035089405,4.763735292343181,162.76412388288594,0.8252383,1.1367127
20010428,3.130483865737915,4.323287487030029,5.371034145355225,1,0,35.233072169066446,8.313866834574483,149.67372737484743,0.8784767,0.65420485
20010429,4.40153694152832,4.119805812835693,6.1549177169799805,1,1,31.595176428817812,9.85674358746222,146.38639997167272,0.8413267,0.49645758
20010430,3.8943445682525635,0.1732182800769806,3.9979910850524902,1,0,29.160253644058876,9.093939419981771,94.75192545314881,0.7277243,0.46352276
20010501,4.729326248168945,-0.7761633992195129,4.828440189361572,0,0,31.634761936459732,8.551939673213953,139.0141519695332,0.6788818,0.41888967
20010502,2.9882452487945557,-0.5762509703636169,3.3181915283203125,0,0,38.02861579797831,8.827555207000211,92.1711235047014,0.55149937,0.23762071
20010503,0.19074319303035736,-0.8147236704826355,1.4136478900909424,0,0,37.58850863501051,9.667618487051882,46.818565180643226,0.847934,0.33595604
20010504,-1.2404327392578125,1.7444162368774414,2.478485345840454,0,0,35.538037046654715,9.319414368824285,122.53511387270902,1.3243386,0.6980977
20010505,3.4417836666107178,2.326417922973633,4.1613969802856445,1,0,31.411370054782168,9.002667815782646,115.50437702034742,0.9189217,0.4868028
20010506,6.331396102905273,0.9899028539657593,6.4540696144104,1,1,33.69882657267555,9.293703938630266,206.44488824517424,1.0082909,0.44646415
20010507,6.345102310180664,1.4136799573898315,6.526313781738281,1,1,36.4038321416357,9.799526095771942,253.4808393252493,0.7189095,0.25782666
20010508,4.394848823547363,1.6816623210906982,4.732169151306152,1,0,38.8463998850193,7.771337338696781,221.19783220775034,0.25841498,-0.044573925
