yyyymmdd,wind1000_r,wind1000_theta,wind925_r,wind925_theta,wind850_r,wind850_theta,wind700_r,wind700_theta,wind500_r,wind500_theta,wind300_r,wind300_theta,wind200_r,wind200_theta,IVT_r,IVT_theta
20010401,10.088959693908691,1.5189801120279598,10.71667766571045,-4.608841881081911,4.482913017272949,-4.4004630097777255,6.345961093902588,-1.5261226432034278,14.921076774597168,-1.5404690028794064,26.8450870513916,-1.5854102312845417,30.795846939086914,-1.7498111966755698,132.74442476620678,-4.5821670979266464
20010402,2.931461811065674,-4.209824020192881,3.5918281078338623,-3.5000180421885325,5.5148701667785645,-2.087859567739323,8.620406150817871,-1.8541633273834157,15.633161544799805,-1.550858434522144,28.55647087097168,-1.2590787420540703,32.555843353271484,-1.6157899560161377,109.78850266774482,-2.486995937950633
20010403,1.5932414531707764,0.3034455883388498,3.7734060287475586,-1.6209837440164168,7.437069892883301,-1.885142166867559,10.309224128723145,-1.7645061886371658,18.123384475708008,-1.5057584818629874,28.64616584777832,-1.4735047773490018,31.629518508911133,-1.5017875855148222,170.53272987139692,-1.7725910491243755
20010404,7.805091857910156,1.3047651315686002,5.284625053405762,-4.370054663348037,3.988464832305908,-2.6054843696162973,11.534120559692383,-1.774191213353411,22.51502227783203,-1.4310246179931045,32.105224609375,-1.3381162891010652,31.44379425048828,-1.4516160028799874,69.31070475895683,-3.3006843486283968
20010405,7.351702690124512,1.122540301098638,3.2354087829589844,-4.5515202737494,2.9916679859161377,-1.7761416586498324,8.804505348205566,-1.5722568698404502,19.661937713623047,-1.3586166555341461,27.968029022216797,-1.3612441646090794,32.00967788696289,-1.3401611150944528,42.92934017525517,-1.352058230406136
20010406,3.9211266040802,1.5702342219690135,1.994432806968689,-3.283631859013841,6.074589729309082,-1.7400371747737697,10.892494201660156,-1.476414251435997,19.150775909423828,-1.3999457729945313,26.114660263061523,-1.3120671262020527,29.81939697265625,-1.3930208859758215,135.467258672111,-1.7558227680102303
20010407,2.7250418663024902,-4.264035212491675,2.2487635612487793,-3.0110111908684676,4.825709819793701,-1.9109824865620006,11.54983139038086,-1.4803524784803392,18.262752532958984,-1.435123946226629,25.49319839477539,-1.5258672133874134,29.230932235717773,-1.4315836965790356,149.22214430367555,-1.8653954381880449
20010408,6.209815979003906,-2.7997332056388267,9.649079322814941,-2.327965584345826,12.19525146484375,-1.950242791117061,14.557209968566895,-1.5587447321701444,22.252574920654297,-1.518169478801346,24.524547576904297,-1.3301345325350846,28.645668029785156,-1.3567682132303482,344.846704028786,-2.059038788257409
20010409,3.6593568325042725,-3.5006797821514857,3.223140239715576,-2.4257165732168438,4.1117048263549805,-1.8755781203911002,9.928656578063965,-1.4065686526465684,14.50022029876709,-1.1854355747475784,18.7889404296875,-1.2903809815399523,23.654312133789062,-1.250740597922014,171.49826002577043,-1.9943845811620315
20010410,5.720760345458984,1.4714682897638278,2.8424642086029053,-3.724720581788345,4.14225435256958,-1.6908718198584776,9.107474327087402,-0.9649604864875112,11.109652519226074,-1.2298136778996236,16.88935089111328,-1.4720077320922655,21.876863479614258,-1.2142548930530954,80.70840258780235,-1.3952718179639167
20010411,10.154073715209961,0.4371248644271808,6.9244184494018555,0.595122433975317,4.617813587188721,-1.3028758365535036,10.763134956359863,-1.1989797975781515,16.6196346282959,-1.4573999188756588,23.100290298461914,-1.645800066156081,24.151750564575195,-1.5196819006534033,182.73448137853276,-0.5467653194634869
20010412,10.121493339538574,0.8835211966244367,8.54922103881836,1.050832054736726,2.282796621322632,-2.752536767126225,12.602930068969727,-1.4073825783744427,21.466005325317383,-1.5453328131436925,25.58165740966797,-1.7405123204213666,27.46815299987793,-1.6810733321038378,94.58982072148196,0.1721895152827282
20010413,9.015829086303711,1.1721039350807376,7.46214485168457,1.5395085595277411,2.247058153152466,-4.240423632832065,9.000879287719727,-1.611204439576165,17.89422607421875,-1.5719475931056937,24.733116149902344,-1.6535386325272805,26.05731964111328,-1.857567206708517,83.44830577333711,1.371702149170483
20010414,9.178977012634277,0.996586550428725,7.73066520690918,1.4289618926364658,3.3101351261138916,1.3435845959954649,6.670815944671631,-1.571596619312512,16.36985206604004,-1.5317341477353983,21.91880989074707,-1.5684936569017416,25.90606117248535,-1.6054035625640215,132.2123703436033,1.164761092905786
20010415,8.406937599182129,1.0869116125884966,6.555662631988525,-4.663870140676544,2.1142683029174805,-4.307755591254039,6.308385848999023,-1.703407403186176,15.89694595336914,-1.4180639683783376,23.700679779052734,-1.3370001856275633,26.41965675354004,-1.420014755926395,101.71656924063845,1.4809494513174988
20010416,5.48738956451416,1.0026438947003729,1.9142340421676636,1.0223898853062137,2.965804100036621,-1.3737819884106823,8.179726600646973,-1.5566968589792456,15.904376983642578,-1.5676683897978059,21.65983772277832,-1.4494344211453773,24.886999130249023,-1.5650057166566937,57.95720711880409,-0.7924279216282555
20010417,2.9088873863220215,1.0453915747252256,1.5252435207366943,-1.1334857990699905,4.484659671783447,-1.4526174490542743,9.553247451782227,-1.4602999272985042,16.514198303222656,-1.541448376850175,23.96599578857422,-1.4833299955581558,26.390121459960938,-1.5165077855266884,120.28686053530296,-1.3755032661955071
20010418,4.017678737640381,-4.481548202294441,3.1745293140411377,-3.7154375329801805,4.854134559631348,-2.299439495987148,11.152321815490723,-1.4191708283713447,15.749371528625488,-1.3931886495762433,20.754541397094727,-1.2923169045266962,26.350004196166992,-1.2098437016900436,110.08153285336095,-2.1667060221084515
20010419,5.143179893493652,-3.585831719130762,6.043727397918701,-3.1595884127592777,7.004452705383301,-2.516950068527624,7.568002700805664,-1.7120433722705655,12.260991096496582,-1.4861000670972642,20.22415542602539,-1.4836792283638145,23.06999969482422,-1.2655414530570348,190.09927481436765,-2.7043536085193978
20010420,6.66257381439209,-2.9339337527380476,9.950366020202637,-2.587998727884462,9.89990520477295,-2.390707114624326,9.836503982543945,-2.094126879984279,16.52570343017578,-1.9067449830467869,22.338178634643555,-1.354544973630977,19.27999496459961,-1.3878616436783662,278.7034041899404,-2.5079001120656015
20010421,3.3597707748413086,-2.9113296708323,6.786868572235107,-2.3693804076107874,6.395391464233398,-2.2346425133227186,8.602583885192871,-2.0123561353170083,16.178760528564453,-1.5467428637139444,20.055891036987305,-1.371660912525865,14.696516036987305,-1.5239336212295402,193.08951425128168,-2.33956042830678
20010422,9.58681869506836,1.3512292298347783,7.747974872589111,-4.601220472012396,3.719085931777954,-3.7918541034044004,5.1538004875183105,-1.4373181631679222,11.325424194335938,-1.513563386342319,15.972448348999023,-1.38666244605218,15.230027198791504,-1.6825822338390446,147.77638831332908,-4.5120321247407835
