yyyymmdd,accu,mean,top10_mean,max,std
20020405,34.8,0.10205278592375366,1.98,5.5,0.4412344820856459
20020406,250.9,0.7379411764705882,15.8,30.0,3.0470142371255298
20020407,35.5,0.10534124629080119,1.7,3.0,0.3559181121298366
20020408,2.5,0.00744047619047619,0.25,0.5,0.060538230972642826
20020409,358.4,1.0827794561933535,22.0,48.0,4.39155735023737
20020410,239.8,0.7378461538461539,20.25,71.0,5.290486233959595
20020411,972.1,3.0095975232198144,33.65,71.5,7.411417066525651
20020412,1355.9,4.22398753894081,28.5,54.5,6.924885211314038
20020413,21.5,0.06437125748502993,1.6,6.0,0.40159121365692585
20020414,64.0,0.187683284457478,4.45,10.5,0.8803296333349394
20020415,162.2,0.47705882352941176,9.93,21.2,1.9955694004052853
20020416,132.0,0.3940298507462687,11.65,45.5,3.0205703028290554
20020417,653.9,1.9996941896024465,25.85,39.5,5.365266585491471
20020418,386.0,1.1732522796352585,19.0,44.0,3.9213873157886274
20020419,63.5,0.18567251461988304,5.0,10.0,1.0057725134908373
20020420,10.9,0.032344213649851634,1.05,2.5,0.22112101813795051
20020421,158.9,0.471513353115727,14.49,30.0,2.9369671513384827
20020422,28.2,0.08417910447761194,2.25,4.0,0.43409246299498083
20020423,51.4,0.14985422740524781,4.92,17.5,1.1820788782383234
20020424,713.8,2.1696048632218843,34.2,64.0,6.843019661008508
20020425,350.3,1.0425595238095238,18.75,40.0,3.8478818380134885
20020426,266.6,0.8103343465045594,7.4,17.0,1.6710705514455289
20020427,60.7,0.1754335260115607,3.8,12.0,0.8235008887604806
20020428,65.7,0.19098837209302327,4.0,10.5,0.9121308809873935
20020429,37.5,0.10932944606413994,2.75,7.5,0.6028362163226333
20020430,6.5,0.01884057971014493,0.65,1.5,0.1332703064646104
20020501,47.5,0.14264264264264265,4.0,9.5,0.7836054242310396
20020502,157.3,0.45726744186046514,11.55,35.5,2.4776101056162156
20020503,36.0,0.10344827586206896,2.95,6.0,0.5780363660082831
20020504,44.5,0.13484848484848486,3.7,7.0,0.7097785451137312
20020505,66.6,0.19588235294117645,3.5,4.5,0.662513563222133
20020506,76.0,0.22287390029325513,4.15,6.0,0.8003693860879741
20020507,54.5,0.15935672514619884,4.55,9.5,0.8499484994366061
20020508,199.1,0.6107361963190184,12.05,33.0,2.623988220617875
20020509,33.5,0.09654178674351585,2.6,5.0,0.513550813898291
20020510,192.8,0.5572254335260116,17.23,79.0,4.6723658575078595
20020511,732.8,2.247852760736196,28.419999999999998,56.199999999999996,5.911819682109791
20020512,461.9,1.3585294117647058,22.25,53.5,4.619939286813284
20020513,304.5,0.8955882352941177,14.7,30.0,2.924301516578205
20020514,18.2,0.053372434017595304,1.55,11.0,0.6019728603816048
20020515,1003.0,3.086153846153846,22.25,31.5,4.918463703952749
20020516,1272.7,3.776557863501484,40.4,60.0,8.069774504610223
20020517,13349.2,46.031724137931036,130.95,162.5,29.865347705644954
20020518,38.0,0.11912225705329153,2.55,7.5,0.618353953664453
20020519,751.0,2.2417910447761193,31.65,66.5,6.507574215119866
20020520,3689.9,11.864630225080386,73.9,92.0,16.725542294831353
20020521,2575.5,7.924615384615384,68.6,86.0,14.885295074920604
20020522,7185.8,22.812063492063494,91.05,103.5,23.756903368216204
20020523,6205.1,19.888141025641026,82.2,128.0,18.659228668220244
20020524,497.6,1.4549707602339181,21.2,73.0,4.878274593628463
20020525,186.9,0.5497058823529412,8.34,12.9,1.6410810377060419
20020526,337.5,0.9698275862068966,23.9,50.0,4.5838087077368375
20020527,738.8,2.1539358600583087,34.5,42.5,6.61235529342596
20020528,750.0,2.1802325581395348,28.7,71.5,6.190931473054459
