yyyymmdd,accu,mean,top10_mean,max,std
20010401,79.8,0.7979999999999999,7.9799999999999995,22.5,3.165848385504271
20010402,4.0,0.038834951456310676,0.4,2.0,0.2277935574106809
20010403,12.0,0.11538461538461539,1.2,5.0,0.6363612349143961
20010404,1246.4,14.163636363636364,31.8,39.0,10.557797439658497
20010405,622.0,7.232558139534884,22.85,33.5,7.2731977206610505
20010406,27.0,0.29347826086956524,1.6,2.5,0.5374667528293963
20010407,452.9,5.08876404494382,26.25,44.5,8.738207954019861
20010408,148.0,1.6263736263736264,12.3,23.0,4.2553091638779375
20010409,106.9,1.1135416666666667,8.39,24.0,3.359179580879418
20010410,135.9,1.69875,5.95,12.0,2.064733260617458
20010411,916.9,11.46125,33.35,43.5,10.595629921694133
20010412,182.8,2.0087912087912088,10.43,17.5,3.4801366763500194
20010413,1.5,0.014563106796116505,0.15,0.5,0.08408013628975132
20010414,16.0,0.15841584158415842,1.6,10.0,1.0170105022708675
20010415,17.0,0.17346938775510204,1.7,4.0,0.6627941811859175
20010416,80.6,0.798019801980198,6.25,19.0,2.362955868240337
20010417,7.5,0.07731958762886598,0.75,2.5,0.35421036170328823
20010418,751.3,8.736046511627906,21.3,31.0,6.374456890512278
20010419,62.2,0.622,6.2,21.5,2.695091093080158
20010420,9.1,0.09578947368421052,0.9099999999999999,3.0,0.3788947331866268
20010421,16.0,0.16326530612244897,1.6,3.5,0.5923642968857139
20010422,121.0,1.2222222222222223,5.1,6.5,1.7294569449265447
20010423,46.3,0.46299999999999997,3.65,11.0,1.4392814179304896
20010424,16.4,0.16565656565656564,1.54,5.0,0.6407321595133726
20010425,14.0,0.1414141414141414,1.4,4.0,0.5775269639968811
20010426,78.5,0.8010204081632653,6.9,21.0,2.7606378624779406
20010427,31.5,0.315,3.1,19.0,1.9437785367680134
20010428,3.5,0.034653465346534656,0.35,2.0,0.21407671594494707
20010429,0.5,0.0049504950495049506,0.05,0.5,0.0495049504950495
20010430,0.0,0.0,0.0,0.0,0.0
20010501,24.0,0.23300970873786409,2.4,16.5,1.6484996620648946
20010502,62.8,0.6610526315789473,5.83,19.0,2.4107781987453154
20010503,465.5,5.541666666666667,16.7,29.5,4.939640635023422
20010504,64.3,0.6366336633663366,5.65,12.0,1.9917017338172252
20010505,10.0,0.10416666666666667,1.0,3.0,0.4325112394172228
20010506,1.0,0.009900990099009901,0.1,0.5,0.06965963999737766
20010507,1.0,0.010101010101010102,0.1,0.5,0.07034539533931373
20010508,575.5,6.466292134831461,17.7,31.5,5.57824715371376
20010509,1389.4,14.93978494623656,62.25,117.0,20.239698772594537
20010510,54.5,0.5561224489795918,5.0,27.5,2.853464286439527
20010511,221.6,2.435164835164835,14.15,18.5,4.591951239029066
20010512,264.7,3.042528735632184,23.619999999999997,52.0,8.99580530834933
20010513,278.8,2.9347368421052633,21.630000000000003,53.0,7.718764128252012
20010514,4.5,0.04455445544554455,0.45,2.0,0.2447367741447183
20010515,17.0,0.1717171717171717,1.65,4.5,0.6282958198013732
20010516,240.0,2.6666666666666665,15.75,33.5,5.496968861715215
20010517,24.0,0.2553191489361702,2.25,6.5,0.9275473287547794
20010518,475.5,6.256578947368421,28.5,39.5,9.743923012053202
20010519,8314.6,98.98333333333333,152.55,171.0,39.97394041995876
20010520,12127.4,137.81136363636364,389.75,547.5,114.72860904980995
20010521,263.1,2.923333333333334,10.85,21.5,3.8670703812231473
20010522,4152.0,52.55696202531646,112.45,138.5,29.18578500686442
20010523,942.8,10.247826086956522,32.730000000000004,47.5,10.231340154694232
20010524,42.5,0.4336734693877551,4.25,24.0,2.5651090551487923
20010525,53.5,0.5194174757281553,5.3,20.0,2.470134552855201
20010526,642.5,6.361386138613861,51.6,144.0,18.64495244145091
20010527,1300.3,13.832978723404254,57.4,86.5,18.78307515833876
20010528,2227.0,25.597701149425287,69.35,113.5,22.32889461986802
20010529,7649.5,88.94767441860465,193.4,282.0,48.63682623984314
20010530,9643.9,117.60853658536585,214.4,283.5,46.475714091312696
20010531,4481.4,54.65121951219512,104.7,157.5,25.159996529054972
20010601,791.0,8.071428571428571,44.4,69.5,15.088852487441024
20010602,1381.5,14.542105263157895,48.05,63.0,15.54427685472335
20010603,640.0,6.4,48.0,80.0,15.835876988660907
20010604,131.5,1.2289719626168225,11.5,46.5,5.189979729955094
20010605,957.0,11.0,31.45,45.5,9.764467603828018
20010606,394.0,4.4772727272727275,12.35,19.0,3.7263718423471937
20010607,374.0,3.8958333333333335,32.25,78.5,12.080441464293523
20010608,408.5,4.085,34.4,85.0,11.737558306564445
20010609,32.0,0.32323232323232326,3.2,6.5,1.1961916236838352
20010610,165.0,1.6176470588235294,16.15,61.0,7.423523973771352
20010611,0.5,0.004761904761904762,0.05,0.5,0.04856209060564558
20010612,37.6,0.4,3.0,10.5,1.3688790257849823
20010613,3145.0,38.353658536585364,70.45,81.5,18.84734693836536
20010614,7972.0,106.29333333333334,187.25,266.5,47.31483864027812
20010615,1794.0,21.105882352941176,74.25,126.5,24.55511137848266
