yyyymmdd,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20010401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222222,0.03888888888888889,0.004629629629629629,0.09259259259259259,0.09166666666666667,0.009259259259259259,0.037037037037037035,0.041666666666666664,0.09444444444444444,0.06822429906542056,0.020754716981132078,0.05471698113207547,0.0660377358490566
20010402,0.009708737864077669,0.013888888888888888,0.004629629629629629,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0
20010403,0.02358490566037736,0.046296296296296294,0.013888888888888888,0.009259259259259259,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20010404,0.0047169811320754715,0.0,0.004629629629629629,0.004629629629629629,0.018518518518518517,0.027777777777777776,0.05092592592592592,0.0,0.013888888888888888,0.004629629629629629,0.0,0.0,0.0380952380952381,0.05339805825242718,0.30927835051546393,0.22857142857142856,0.009900990099009901,0.205,1.5797979797979798,0.8214285714285714,1.7760416666666667,5.158163265306122,1.4329896907216495,2.217391304347826
20010405,1.2553191489361701,1.386,1.9479591836734695,2.3480000000000003,0.12755102040816327,0.07,0.00510204081632653,0.03,0.3632075471698113,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.11428571428571428,0.0380952380952381,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0
20010406,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037383177570093455,0.08796296296296297,0.004629629629629629,0.004629629629629629,0.004629629629629629,0.0,0.0,0.0,0.018691588785046728,0.023148148148148147,0.028037383177570093,0.038834951456310676,0.015,0.05,0.05102040816326531,0.1
20010407,0.3979591836734694,0.551923076923077,0.3451923076923077,0.19423076923076923,0.39903846153846156,0.6076923076923078,0.43106796116504853,0.2087378640776699,0.30288461538461536,0.32815533980582523,0.3137254901960784,0.30288461538461536,0.16822429906542055,0.13551401869158877,0.009345794392523364,0.004629629629629629,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0
20010408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.004629629629629629,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.019417475728155338,0.20192307692307693,0.3798076923076923,1.1105769230769231,0.12745098039215685,0.02403846153846154
20010409,0.019230769230769232,0.014423076923076924,0.009615384615384616,0.057692307692307696,0.11538461538461539,0.051923076923076926,0.014563106796116505,0.04411764705882353,0.004807692307692308,0.02358490566037736,0.037037037037037035,0.0,0.0,0.0,0.0,0.023148148148148147,0.08333333333333333,0.11666666666666667,0.1411214953271028,0.1326923076923077,0.07941176470588235,0.08529411764705881,0.06470588235294117,0.02
20010410,0.0,0.0,0.0,0.004761904761904762,0.014285714285714285,0.0,0.0,0.0,0.05092592592592592,0.0,0.0,0.009259259259259259,0.0,0.0,0.02,0.038,0.07731958762886598,0.0663265306122449,0.03535353535353535,0.00510204081632653,0.2545454545454545,0.2631578947368421,0.5063157894736843,0.4216494845360825
20010411,0.22395833333333334,0.15306122448979592,0.084,0.30303030303030304,0.476530612244898,0.7484848484848484,2.1489795918367345,1.6780000000000002,0.6938775510204082,0.4298969072164949,0.47216494845360824,0.6729166666666666,0.599,1.0424528301886793,0.16666666666666666,0.18316831683168316,0.11764705882352941,0.05555555555555555,0.17300000000000001,0.21649484536082475,0.15463917525773196,0.1540816326530612,0.24489795918367346,0.3744897959183674
20010412,0.5739130434782609,0.174,0.04,0.13699999999999998,0.10300000000000001,0.243,0.278,0.19,0.03535353535353535,0.055,0.049019607843137254,0.12380952380952381,0.24299065420560748,0.004672897196261682,0.004672897196261682,0.009345794392523364,0.009345794392523364,0.004672897196261682,0.0,0.0,0.004761904761904762,0.0,0.0,0.0
20010413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0
20010414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.009259259259259259,0.0,0.0,0.013888888888888888,0.02358490566037736,0.014285714285714285,0.019230769230769232,0.04807692307692308,0.0,0.0
20010415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.023148148148148147,0.013888888888888888,0.009259259259259259,0.004629629629629629,0.004629629629629629,0.06018518518518518,0.014018691588785047,0.023148148148148147,0.005555555555555556,0.004672897196261682,0.004629629629629629
20010416,0.0,0.004629629629629629,0.25,0.010185185185185186,0.041666666666666664,0.004629629629629629,0.009259259259259259,0.004629629629629629,0.0,0.0,0.004629629629629629,0.004629629629629629,0.0,0.004629629629629629,0.018518518518518517,0.1574074074074074,0.18518518518518517,0.023148148148148147,0.02358490566037736,0.0,0.0,0.0,0.0,0.0
20010417,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.014018691588785047,0.0,0.004672897196261682,0.014018691588785047,0.009433962264150943,0.03773584905660377,0.014285714285714285,0.05188679245283019,0.0
20010418,0.005,0.028037383177570093,0.0,0.009345794392523364,0.009345794392523364,0.004672897196261682,0.0,0.0,0.0,1.9466019417475728,3.375,1.9556701030927834,1.1272727272727272,0.24766355140186916,0.014018691588785047,0.004672897196261682,0.0,0.0,0.0,0.004807692307692308,0.0048543689320388345,0.014563106796116505,0.0048543689320388345,0.004901960784313725
20010419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.2916666666666667,0.18518518518518517,0.06481481481481481,0.018867924528301886,0.0047169811320754715,0.0018867924528301887,0.0,0.0
20010420,0.0,0.004629629629629629,0.0,0.0,0.004629629629629629,0.000925925925925926,0.009259259259259259,0.030555555555555555,0.06296296296296296,0.018691588785046728,0.0,0.0,0.004629629629629629,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20010421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04205607476635514,0.06542056074766354,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.02857142857142857,0.004761904761904762
20010422,0.014423076923076924,0.0,0.0047169811320754715,0.0047169811320754715,0.004629629629629629,0.009259259259259259,0.0,0.0,0.0794392523364486,0.375,0.2222222222222222,0.24299065420560748,0.16822429906542055,0.01904761904761905,0.0,0.013888888888888888,0.0,0.013888888888888888,0.009433962264150943,0.0,0.0047169811320754715,0.0,0.02358490566037736,0.0047169811320754715
